 -0.157079630E+02 -0.418255723E-07  0.707385736E-02
  0.000000000E+00  0.000000000E+00  0.000000000E+00
  0.157079630E+02  0.412294483E-07  0.707385782E-02
  0.314159260E+02  0.783360434E-07  0.707424339E-02
  0.471238899E+02  0.105776472E-06  0.707488833E-02
  0.628318520E+02  0.123949718E-06  0.707580196E-02
  0.785398178E+02  0.133009621E-06  0.707698241E-02
  0.942477798E+02  0.136711165E-06  0.707843667E-02
  0.109955742E+03  0.136307207E-06  0.708016288E-02
  0.125663704E+03  0.133251305E-06  0.708216196E-02
  0.141371658E+03  0.129914142E-06  0.708443671E-02
  0.157079636E+03  0.124014221E-06  0.708698388E-02
  0.172787598E+03  0.120220236E-06  0.708980532E-02
  0.188495560E+03  0.114202031E-06  0.709290151E-02
  0.204203522E+03  0.109871849E-06  0.709626917E-02
  0.219911484E+03  0.104214067E-06  0.709991110E-02
  0.235619431E+03  0.997385925E-07  0.710383151E-02
  0.251327408E+03  0.942633491E-07  0.710802665E-02
  0.267035370E+03  0.924631038E-07  0.711249933E-02
  0.282743317E+03  0.877627144E-07  0.711724861E-02
  0.298451294E+03  0.852812079E-07  0.712227775E-02
  0.314159271E+03  0.819093557E-07  0.712758629E-02
  0.329867218E+03  0.787978038E-07  0.713317795E-02
  0.345575195E+03  0.752815978E-07  0.713904947E-02
  0.361283142E+03  0.728061451E-07  0.714520551E-02
  0.376991119E+03  0.729486374E-07  0.715164747E-02
  0.392699097E+03  0.699544316E-07  0.715837535E-02
  0.408407043E+03  0.677909711E-07  0.716539286E-02
  0.424115021E+03  0.661509105E-07  0.717270002E-02
  0.439822968E+03  0.643292424E-07  0.718029635E-02
  0.455530914E+03  0.654384493E-07  0.718818745E-02
  0.471238861E+03  0.604758981E-07  0.719637470E-02
  0.486946869E+03  0.576414152E-07  0.720485859E-02
  0.502654816E+03  0.568646925E-07  0.721364422E-02
  0.518362732E+03  0.550430279E-07  0.722272834E-02
  0.534070740E+03  0.548409282E-07  0.723211328E-02
  0.549778687E+03  0.572595731E-07  0.724180695E-02
  0.565486633E+03  0.515300798E-07  0.725181215E-02
  0.581194641E+03  0.523831680E-07  0.726212282E-02
  0.596902588E+03  0.508865341E-07  0.727274874E-02
  0.612610535E+03  0.498741848E-07  0.728368945E-02
  0.628318542E+03  0.507170341E-07  0.729495054E-02
  0.644026489E+03  0.470783554E-07  0.730653340E-02
  0.659734436E+03  0.468622900E-07  0.731843570E-02
  0.675442444E+03  0.457111753E-07  0.733066909E-02
  0.691150391E+03  0.474043205E-07  0.734323077E-02
  0.706858337E+03  0.451616948E-07  0.735612726E-02
  0.722566284E+03  0.452604141E-07  0.736935996E-02
  0.738274292E+03  0.432077805E-07  0.738293026E-02
  0.753982239E+03  0.429246576E-07  0.739684887E-02
  0.769690186E+03  0.438392149E-07  0.741111115E-02
  0.785398193E+03  0.417418775E-07  0.742572546E-02
  0.801106140E+03  0.422541042E-07  0.744069647E-02
  0.816814087E+03  0.416077661E-07  0.745602138E-02
  0.832522034E+03  0.435169802E-07  0.747171603E-02
  0.848230042E+03  0.410769125E-07  0.748777064E-02
  0.863937988E+03  0.413917007E-07  0.750419870E-02
  0.879645935E+03  0.400189322E-07  0.752100116E-02
  0.895353882E+03  0.396389517E-07  0.753818685E-02
  0.911061829E+03  0.397451210E-07  0.755575532E-02
  0.926769775E+03  0.396911055E-07  0.757371448E-02
  0.942477722E+03  0.401660785E-07  0.759206526E-02
  0.958185791E+03  0.390671211E-07  0.761082070E-02
  0.973893738E+03  0.386815522E-07  0.762997800E-02
  0.989601685E+03  0.372491762E-07  0.764954928E-02
  0.100530963E+04  0.381413834E-07  0.766953267E-02
  0.102101758E+04  0.380612910E-07  0.768994074E-02
  0.103672546E+04  0.379253180E-07  0.771077489E-02
  0.105243359E+04  0.373423106E-07  0.773204258E-02
  0.106814148E+04  0.371504569E-07  0.775375078E-02
  0.108384949E+04  0.370126223E-07  0.777590647E-02
  0.109955737E+04  0.383798024E-07  0.779851526E-02
  0.111526538E+04  0.362563881E-07  0.782158598E-02
  0.113097327E+04  0.375155373E-07  0.784512237E-02
  0.114668127E+04  0.371765339E-07  0.786912907E-02
  0.116238928E+04  0.364687303E-07  0.789362285E-02
  0.117809729E+04  0.367816533E-07  0.791860279E-02
